job,jobcen,fem,phd,ment,fel,art,cit
0,1,1,2.4300000667572,15.9999990463257,1,2,13
0,1,0,4.53999996185303,47.0000076293945,0,5,27
0,1,0,2.04999995231628,30.9999904632568,1,3,48
0,1,0,2.09999990463257,0,0,1,1
0,1,0,4,30,1,5,32
0,1,0,2.85999989509583,30.9999904632568,0,1,0
0,1,1,2.88000011444092,13.9999980926514,1,1,10
0,1,0,2.85999989509583,159,0,1,3
0,1,1,3.35999989509583,16.9999980926514,1,1,1
0,1,0,2.72000002861023,1.99999988079071,1,1,3
0,1,0,1.25,3.99999904632568,0,3,5
0,1,1,2.09999990463257,9,1,0,0
0,1,0,2.75999999046326,19,1,1,0
0,1,1,2.11999988555908,0,1,0,0
0,1,1,3.51999998092651,49.9999809265137,1,3,18
0,1,0,2.50999999046326,6.99999904632568,1,1,2
0,1,1,2.85999989509583,38.0000076293945,1,0,0
0,1,1,3.53999996185303,12,0,0,0
0,1,0,2.55999994277954,54.9999923706055,1,3,14
0,1,1,3.35999989509583,3,1,2,2
0,1,0,1.74000000953674,9,0,1,4
0,1,0,1.79999995231628,1.99999988079071,0,1,5
0,1,1,3.75,25.9999980926514,0,0,0
0,1,1,3.83999991416931,72.9999923706055,1,3,3
0,1,1,1.89999997615814,108.999984741211,1,2,16
0,1,0,2.35999989509583,18,1,0,0
0,1,1,4.28999996185303,18,0,1,1
0,1,1,2.53999996185303,0,0,0,0
0,1,1,3.19000005722046,0,0,0,0
0,1,0,1.17999994754791,0,0,2,1
0,1,1,2.39000010490417,0,0,0,0
0,1,0,2.35999989509583,9.99999904632568,1,1,10
0,1,0,4.28999996185303,18,0,0,0
0,1,1,1.62999999523163,3,0,2,2
0,1,0,3.58999991416931,105,1,2,17
0,1,0,1.80999994277954,64.9999847412109,0,1,9
0,1,1,1.17999994754791,0,0,1,0
0,1,1,2.57999992370605,41.0000076293945,0,1,4
0,1,0,2.86999988555908,1.99999988079071,0,1,8
0,1,0,2.85999989509583,10.9999980926514,0,1,18
0,1,1,1.39999997615814,38.0000076293945,0,0,0
0,1,1,2.86999988555908,115.999984741211,1,4,32
0,1,1,3.75,24,1,0,0
0,1,0,2.96000003814697,0,1,5,36
0,1,1,4.28999996185303,198,0,3,26
0,1,0,4.28999996185303,0.999999940395355,0,0,0
0,1,0,2.25999999046326,7.99999809265137,0,1,2
0,1,1,3.75,12.9999990463257,0,0,0
0,1,0,2,30.9999904632568,0,1,4
0,1,0,4.28999996185303,32.0000076293945,1,2,7
0,1,0,3.20000004768372,25,1,1,2
0,1,0,2.09999990463257,1.99999988079071,0,2,3
0,1,0,3.83999991416931,13.9999980926514,1,1,0
0,1,1,1.39999997615814,3,0,1,20
0,1,1,2.57999992370605,27,0,2,26
0,1,1,3.84999990463257,247.999969482422,1,2,1
0,1,1,4.28999996185303,204,0,2,9
0,1,1,1,0,0,0,0
0,1,0,2.09999990463257,0,0,1,2
0,1,1,3.51999998092651,32.0000076293945,1,0,0
0,1,0,2.3199999332428,3,0,2,8
0,1,0,4.61999988555908,87.9999923706055,1,0,0
0,1,1,3.6800000667572,36,1,2,0
0,1,1,4.15999984741211,66,1,3,80
0,1,1,3.75,12,0,0,0
0,1,1,2.09999990463257,0.999999940395355,0,0,0
0,1,1,4,3.99999904632568,1,3,56
0,1,1,2.21000003814697,0,1,2,25
0,1,1,1.95000004768372,9.99999904632568,0,1,1
0,1,1,1.75999999046326,3.99999904632568,0,1,3
0,1,1,3.08999991416931,0,0,0,0
0,1,0,2.82999992370605,16.9999980926514,0,2,13
0,1,0,3.35999989509583,21,1,3,19
0,1,0,1.17999994754791,3.99999904632568,0,0,0
0,1,0,3.35999989509583,0.999999940395355,1,4,65
0,1,0,3.58999991416931,1.99999988079071,0,7,21
0,1,1,2.85999989509583,13.9999980926514,0,0,0
0,1,1,3.58999991416931,64.9999847412109,1,2,24
0,1,0,4.6399998664856,15.9999990463257,1,3,24
0,1,1,2.86999988555908,61.9999809265137,1,1,8
0,1,1,1.39999997615814,3.99999904632568,0,1,0
0,1,1,3.6800000667572,85.9999847412109,1,1,13
0,1,1,1.27999997138977,12,1,1,1
0,1,1,3.83999991416931,204,1,1,5
0,1,1,1.75999999046326,121.999984741211,0,0,0
